"fch","pr01.0pri","se02.0mrn","se03.0mrn","se04.0mrn","se05.0mrn","se06.0mrn","se07.0mrn","se08.0pan","se09.0pan","se10.0pri","se11.0pes","se11.1pt","se12.0pt","se13.0mc","se14.0prd","in15.0mrn","in16.0mrn","in17.0mrn","in18.0mrn","in19.0mrn","in20.0mrn","in21.0mrn","in22.0mrn","in23.0mrn","in24.0mrn","se24.1mrn","in25.0mrn","in26.0mrn","in27.0pan","in28.0pan","in29.0pan","in30.0pri","in31.0pes","in32.0pt","in33.0mc","junta.mrn","junta.jhh"
2018-10-10,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-11,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-12,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-13,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-14,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-15,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-16,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-17,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-18,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-19,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-20,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-21,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-22,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-23,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-24,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-25,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-26,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-27,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-28,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-29,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","vac","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-30,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","SANTIAGO.CHE","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-10-31,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","SANTIAGO.CHE","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-11-01,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","SANTIAGO.CHE","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-11-02,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","SANTIAGO.CHE","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-11-03,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","SANTIAGO.CHE","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-11-04,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","SANTIAGO.CHE","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-11-05,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","SANTIAGO.CHE","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-11-06,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","SANTIAGO.CHE","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
2018-11-07,"GALINDO","CHARREZ","FARIAS","GUZMAN.FJ                    ","RMZ.NAVARRETE","CUEVAS","vac","AYALA.DIA","GARZA.GAL","PEREZ.MUN","PEREZ.JA","vac","MARU","HERRERA.VEG","REYES.MON","AGUILERA.CHA","CAMPOS.EQU","ESPINOZA.LOP","GARCIA.RUB","GUERRERO","PEDRERO","REYES.COL","SANTIAGO.CHE","SANTOS","FDZ.CRUZ","vac","vac","vac","MUÑOZ.MAR","SALINAS.WOL","ASCENCIO.BAR","NEMER","MANZANILLA.PRI","ROBLES.MON","KU","0.38","0.54"
