"fch","pr01.0mrn","se02.0mrn","se03.0mrn","se04.0mrn","se05.0pan","se06.0pri","in07.0mrn","in08.0mrn","in09.0mrn","in10.0mrn","in11.0mrn","se12.0mrn","in13.0mrn","in13.1pri","in14.0mrn","se14.1mrn","in15.0mrn","in16.0mrn","in17.0pan","in18.0pan","in19.0pri","in20.0pes","in20.1mrn","in21.0pes","in21.1pt","in22.0pt","in23.0mc","in24.0mc","in25.0prd","in26.0pt","in27.0pt","in28.0pan","junta.mrn","junta.jhh"
2018-10-20,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","vac","vac",0.71,0.71
2018-10-21,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","vac","vac",0.71,0.71
2018-10-22,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","vac","vac",0.71,0.71
2018-10-23,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","vac","vac",0.71,0.71
2018-10-24,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","vac","vac",0.71,0.71
2018-10-25,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","vac","vac",0.71,0.71
2018-10-26,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","vac","vac",0.71,0.71
2018-10-27,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","vac","vac",0.71,0.71
2018-10-28,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","vac","vac",0.71,0.71
2018-10-29,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","vac","vac",0.71,0.71
2018-10-30,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-10-31,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-01,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-02,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-03,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-04,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-05,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-06,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-07,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-08,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-09,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-10,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-11,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-12,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-13,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-14,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-15,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-16,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-17,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-18,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-19,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","vac",0.71,0.71
2018-11-20,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","ver01p",0.71,0.71
2018-11-21,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","ver01p",0.71,0.71
2018-11-22,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","ver01p",0.71,0.71
2018-11-23,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","ver01p",0.71,0.71
2018-11-24,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","ver01p",0.71,0.71
2018-11-25,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","ver01p",0.71,0.71
2018-11-26,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","ver01p",0.71,0.71
2018-11-27,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","ver01p",0.71,0.71
2018-11-28,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","ver01p",0.71,0.71
2018-11-29,"sin01p","son04p","rp3-23p","rp1-35p","rp1-02p","rp1-11p","sin06p","cps12p","mic01p","nay01p","rp1-40p","ver20p","vac","vac","col01p","vac","sin04p","son06p","rp3-06p","rp1-06p","yuc02p","gue03p","vac","tla01p","vac","bcs01p","rp1-24p","jal01p","mic11p","sin03p","mex05p","ver01p",0.71,0.71
