"fch","pr01.0pri","se02.0mrn","se03.0mrn","se04.0mrn","in04.1mrn","se05.0mrn","se06.0pan","se07.0pri","se07.1pes","se08.0pt","se08.1pan","in09.0mrn","in10.0mrn","in11.0mrn","in12.0mrn","in13.0mrn","in14.0mrn","in15.0pan","in16.0pan","in17.0pan","in17.1mc","in18.0pes","in19.0pes","in20.0ver","in20.1pt","junta.mrn","junta.jhh"
2018-10-23,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-24,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-25,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-26,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-27,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-28,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-29,"MOREIRA","ANDAZOLA","LOPEZ.M","MINOR","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","ELIZONDO.GAR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.5","0.62"
2018-10-30,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-10-31,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-01,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-02,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-03,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-04,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-05,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-06,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-07,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-08,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-09,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-10,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-11,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-12,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-13,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-14,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-15,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-16,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-17,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-18,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-19,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-20,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-21,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-22,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-23,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-24,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-25,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-26,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-27,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-28,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
2018-11-29,"MOREIRA","ANDAZOLA","LOPEZ.M","vac","vac","LOERA","ROSAS.QUI","TERAN.VIL","vac","LASTRA","vac","ALEJANDRO","AVILA.OLM","DBOSQUE","VARGAS.MER","MINOR","RODRIGUEZ.GOM","RUFFO","BONNAFOUX","RIGGS","vac","LOZANO.ROD","VILLEGAS.GON","TOLEDO","vac","0.43","0.57"
