"fch","pr01.0mrn","se02.0mrn","se02.1pt","se03.0pan","se04.0pri","se05.0pt","se06.0ver","in07.0mrn","in08.0mrn","in09.0mrn","in10.0mrn","in11.0mrn","in12.0mrn","in13.0mrn","in14.0mrn","in15.0pan","in16.0pan","in17.0pri","in18.0pes","in19.0ver","in19.1pt","junta.mrn","junta.jhh"
2018-09-16,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-17,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-18,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-19,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-20,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-21,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-22,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-23,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-24,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-25,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-26,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-27,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-28,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-29,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-30,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-09,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","vac","vac","0.33","0.5"
2018-10-10,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","vac","vac","0.33","0.5"
2018-10-11,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-12,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-13,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-14,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-15,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-16,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-17,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-18,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-19,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-20,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-21,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-22,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-23,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-24,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-25,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-26,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-27,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-28,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-29,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-30,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-10-31,"SALES","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-11-01,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-02,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-03,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-04,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-05,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-06,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-07,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-08,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-09,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-10,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-11,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-12,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-13,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-14,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-15,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-16,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-17,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-18,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-19,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-20,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-21,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-22,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-23,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-24,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-25,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-26,"vac","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.2","0.4"
2018-11-27,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-11-28,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-11-29,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-11-30,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-12-01,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-12-02,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-12-03,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-12-04,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-12-05,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-12-06,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-12-07,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-12-08,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
2018-12-09,"BONIFAZ","ELORZA","vac","CARREON","ALONZO","ROBLERO","VIDAL","AGUILAR.MOL","ALEJANDRO","DLCRUZ","MANZANO","MARTINEZ.AKE","OBRADOR","VAZQUEZ.VAZ","VILLARAUZ","MENDEZ.REY","RIVERA.HER","MOREIRA","BUENFIL","TOLEDO","vac","0.33","0.5"
