"fch","pr01.0mrn","se02.0mrn","se02.1pt","se03.0pan","se04.0pri","se05.0pt","se06.0ver","in07.0mrn","in08.0mrn","in09.0mrn","in10.0mrn","in11.0mrn","in12.0mrn","in13.0mrn","in14.0mrn","in15.0pan","in16.0pan","in17.0pri","in18.0pes","in19.0ver","in19.1pt","junta.mrn","junta.jhh"
2018-09-17,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-18,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-19,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-20,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-21,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-22,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-23,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-24,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-25,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-26,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-27,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-28,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-29,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-09-30,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-10-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-10-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-10-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-10-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-10-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-10-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-10-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-10-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac",0,0
2018-10-09,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","vac","vac",0.33,0.5
2018-10-10,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","vac","vac",0.33,0.5
2018-10-11,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-12,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-13,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-14,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-15,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-16,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-17,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-18,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-19,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-20,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-21,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-22,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-23,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-24,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-25,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-26,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-27,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-28,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-29,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-30,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-10-31,"rp3-32p","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-11-01,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-02,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-03,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-04,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-05,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-06,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-07,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-08,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-09,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-10,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-11,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-12,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-13,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-14,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-15,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-16,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-17,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-18,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-19,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-20,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-21,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-22,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-23,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-24,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-25,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-26,"vac","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.2,0.4
2018-11-27,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-11-28,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-11-29,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-11-30,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-01,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-02,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-03,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-04,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-05,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-06,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-07,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-08,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-09,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-10,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-11,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-12,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-13,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-14,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-15,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-16,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03s","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-17,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-18,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-19,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-20,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-21,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-22,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-23,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-24,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-25,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-26,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-27,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
2018-12-28,"cps06s","cps12p","vac","rp4-06p","yuc02p","cps13p","yuc01p","cps09p","rp4-36p","rp3-23p","gue05p","cam01p","cps01p","cps03p","rp4-40p","rp3-03p","san07p","rp2-17p","cam02p","rp4-17p","vac",0.33,0.5
