"fch","pr01.0pan","se02.0mrn","se03.0mrn","se04.0mrn","se05.0mrn","se06.0mrn","se07.0mrn","in08.0mrn","se08.1mrn","se09.0mrn","se10.0pan","se11.0pan","se12.0pri","se13.0pes","se14.0pt","se15.0mc","se16.0prd","in17.0mrn","in18.0mrn","in19.0mrn","in20.0mrn","in21.0mrn","in22.0mrn","in23.0mrn","in24.0mrn","in25.0mrn","in26.0mrn","in27.0mrn","in28.0mrn","in29.0mrn","in30.0mrn","in31.0pes","in31.1mrn","in32.0pan","in33.0pan","in34.0pan","in35.0pri","in36.0pri","in37.0pt","in38.0mc","in39.0pvem","in39.1pri","junta.mrn","junta.jhh"
2018-09-26,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-27,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-28,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-29,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-09-30,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-01,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-02,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-03,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-04,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-05,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-06,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-07,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-08,"vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","vac","0","0"
2018-10-09,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-10,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-11,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-12,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-13,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-14,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-15,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-16,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-17,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-18,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-19,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-20,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-21,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-22,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-23,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-24,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-25,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-26,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-27,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-28,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-29,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-30,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-10-31,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
2018-11-01,"PEREZ.DIA","BORREGO","BURELO","CARRILLO.LUN","POOL","VIZCAINO","AGUILAR.VAZ","vac","vac","vac","MUÑOZ.MAR","vac","ANGULO","GARCIA.DUQ","MANZANILLA.TEL","ESQUER.GUT","RODRIGUEZ.ZAM","ALEGRE","CRUZ.SAN","DOMINGUEZ.FLO","FLORES.OLI","GUERRERO","HDZ.TAP","MARTINEZ.FLO","MERLIN","YAÑEZ","SANCHEZ.C","GUERRA.MEN","vac","vac","vac","CASTAÑEDA.POM","vac","TREJO","MENDEZ.REY","vac","RANGEL","ACOSTA","GLZ.SOTO","LOYA","ALCANTARA","vac","0.46","0.62"
