"fch","pr01.0mrn","se02.0mrn","se03.0mrn","se04.0mrn","se05.0mrn","se06.0mrn","se07.0pan","se08.0pri","se09.0pes","se09.1mrn","se10.0mc","in11.0mrn","in12.0mrn","in13.0mrn","in14.0mrn","in15.0mrn","in16.0mrn","in17.0mrn","in18.0mrn","in19.0mrn","in20.0pan","in21.0pan","in22.0pan","in23.0pan","in23.1mrn","in24.0pt","in25.0pri","se25.1pri","in26.0pri","in27.0pes","in29.0mc","in30.0prd","junta.mrn","junta.jhh"
2018-10-19,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-20,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-21,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-22,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-23,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-24,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-25,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-26,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-27,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-28,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-29,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-30,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-10-31,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-01,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-02,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-03,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-04,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-05,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-06,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-07,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-08,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-09,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-10,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-11,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-12,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-13,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-14,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-15,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-16,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-17,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-18,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-19,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-20,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-21,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-22,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-23,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-24,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-25,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
2018-11-26,"pue08p","rp4-36p","cua04p","pue14p","mex22p","rp2-29p","gua14p","rp1-15p","bc06p","vac","rp1-23p","dgo03p","cps10p","mic01p","zac04p","mic07p","rp1-36p","rp1-40p","gue05p","cps03s","rp3-07p","rp5-03p","ags01p","coa01p","vac","mex14p","rp2-16p","vac","rp3-10p","tam03p","rp2-28p","vac",0.6,0.7
