"fch","pr01.0pri","se02.0mrn","se03.0mrn","se04.0mrn","se05.0mrn","se06.0mrn","se07.0mrn","se08.0pan","se09.0pan","se10.0pri","se11.0pes","se11.1pt","se12.0pt","se13.0mc","se14.0prd","in15.0mrn","in16.0mrn","in17.0mrn","in18.0mrn","in19.0mrn","in20.0mrn","in21.0mrn","in22.0mrn","in23.0mrn","in24.0mrn","se24.1mrn","in25.0mrn","in26.0mrn","in27.0pan","in28.0pan","in29.0pan","in30.0pri","in31.0pes","in32.0pt","in33.0mc","junta.mrn","junta.jhh"
2018-10-10,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-11,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-12,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-13,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-14,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-15,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-16,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-17,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-18,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-19,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-20,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-21,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-22,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-23,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-24,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-25,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-26,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-27,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-28,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-29,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","vac","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-30,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-10-31,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-01,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-02,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-03,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-04,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-05,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-06,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-07,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-08,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-09,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-10,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-11,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-12,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-13,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-14,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-15,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-16,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-17,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-18,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-19,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
2018-11-20,"rp4-10p","hgo02p","coa03p","rp1-30p","rp5-36p","rp4-29p","vac","gua03p","rp2-10p","rp3-11p","coa06p","vac","mex03p","jal10p","mex18p","dgo03p","mic09p","rp4-25p","rp5-38p","mic05p","cps02p","mex40p","oax04p","rp2-39p","rp4-20p","vac","vac","vac","rp2-13p","nl01p","gua15p","rp5-13p","pue12p","oax08p","jal11p",0.38,0.54
