"fch","pr01.0mrn","se02.0mrn","se03.0mrn","se04.0mrn","se05.0pan","se06.0pri","in07.0mrn","in08.0mrn","in09.0mrn","in10.0mrn","in11.0mrn","se12.0mrn","in13.0mrn","in13.1pri","in14.0mrn","se14.1mrn","in15.0mrn","in16.0mrn","in17.0pan","in18.0pan","in19.0pri","in20.0pes","in20.1mrn","in21.0pes","in21.1pt","in22.0pt","in23.0mc","in24.0mc","in25.0prd","in26.0pt","in27.0pt","in28.0pan","junta.mrn","junta.jhh"
2018-10-17,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","vac","vac","vac","0.71","0.71"
2018-10-18,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-19,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-20,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-21,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-22,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-23,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-24,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-25,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-26,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-27,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-28,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-29,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","vac","vac","0.71","0.71"
2018-10-30,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-10-31,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-01,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-02,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-03,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-04,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-05,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-06,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-07,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-08,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-09,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-10,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-11,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-12,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-13,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-14,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
2018-11-15,"RUIZ.ARI","AGUILAR.HM","DLCRUZ","SANDOVAL.SOB","RUFFO","VILLEGAS.ARR","CARRAZCO","ELORZA","FLORES.ANG","JARERO.VEL","LOPEZ.M","RIOS","vac","vac","YAÑEZ","vac","ZAMORA","LAMARQUE","GOMEZ.QUE","CAMBERO","ALONZO","CABRERA","vac","SOSA.SAL","vac","GARCIA.GRA","RUSSO","RON","AGUILERA.ROJ","GARCIA.JF","FAVELA","vac","0.71","0.71"
