"fch","pr01.0mrn","se02.0mrn","se03.0mrn","se04.0mrn","se05.0mrn","se06.0mrn","se07.0pan","se08.0pri","se09.0pes","se09.1mrn","se10.0mc","in11.0mrn","in12.0mrn","in13.0mrn","in14.0mrn","in15.0mrn","in16.0mrn","in17.0mrn","in18.0mrn","in19.0mrn","in20.0pan","in21.0pan","in22.0pan","in23.0pan","in23.1mrn","in24.0pt","in25.0pri","se25.1pri","in26.0pri","in27.0pes","in29.0mc","in30.0prd","junta.mrn","junta.jhh"
2018-10-16,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","SERRANO","0.6","0.7"
2018-10-17,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","SERRANO","0.6","0.7"
2018-10-18,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-19,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-20,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-21,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-22,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-23,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-24,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-25,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-26,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-27,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-28,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-29,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-30,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-10-31,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-11-01,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-11-02,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-11-03,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-11-04,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-11-05,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-11-06,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-11-07,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-11-08,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-11-09,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
2018-11-10,"VENCES","ALEJANDRO","GARCIA.SOT","MACEDA","MORA.RIO","NOVELLA","ESPINOSA.RIV","HDZ.DERAS","CASTAÑEDA.POM","vac","GLZ.ANAYA","AGUILERA.CHA","FARRERA","FLORES.ANG","HERRERA.CHA","HERRERA.PER","LOERA","LOPEZ.M","MANZANO","TORRES.HER","GARCIA.MOR","PRECIADO","LUEVANO","PEREZ.RIV","vac","DOMINGUEZ.VAZ","RODRIGUEZ.MIE","vac","YUNES","VILLEGAS.GON","LOZANO.MAC","vac","0.6","0.7"
